=== Roofline Analysis ===
layer,type,flops,mem_fp16_bytes,mem_int8_tc_bytes,ai_fp16,bw_saving_pct
AGCM.classifier.model.0,Conv2d 1x1,12441600,4924896,4536112,2.5,7.9
AGCM.classifier.model.4,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
AGCM.classifier.model.8,Conv2d 1x1,33423360,1570816,1307904,21.3,16.7
AGCM.classifier.model.12,Conv2d 1x1,33423360,799744,661504,41.8,17.3
AGCM.classifier.model.16,Conv2d 1x1,16711680,293888,212736,56.9,27.6
AGCM.classifier.model.20,Conv2d 1x1,207360,37716,19692,5.5,47.8
AGCM.cond_scale_first,Linear,768,908,780,0.8,14.1
AGCM.cond_shift_first,Linear,768,908,780,0.8,14.1
AGCM.cond_scale_HR,Linear,768,908,780,0.8,14.1
AGCM.cond_shift_HR,Linear,768,908,780,0.8,14.1
AGCM.cond_scale_last,Linear,36,54,48,0.7,11.1
AGCM.cond_shift_last,Linear,36,54,48,0.7,11.1
AGCM.conv_first,Conv2d 1x1,796262400,277862784,271642048,2.9,2.2
AGCM.HRconv,Conv2d 1x1,16986931200,530849792,398135552,32.0,25.0
AGCM.conv_last,Conv2d 1x1,796262400,277862784,145152204,2.9,47.8
LE.cond_first.0,Conv2d 3x3,7166361600,277865856,271643584,25.8,2.2
LE.cond_first.2,Conv2d 1x1,16986931200,530849792,398135552,32.0,25.0
LE.cond_first.4,Conv2d 1x1,16986931200,530849792,398135552,32.0,25.0
LE.CondNet1.0,Conv2d 1x1,16986931200,530849792,398135552,32.0,25.0
LE.CondNet1.2,Conv2d 1x1,16986931200,530849792,398135552,32.0,25.0
LE.CondNet1.4,Conv2d 1x1,4246732800,331778048,199066688,12.8,40.0
LE.CondNet2.0,Conv2d 3x3,38220595200,331849728,199102720,115.2,40.0
LE.CondNet2.2,Conv2d 1x1,4246732800,132718592,99537152,32.0,25.0
LE.CondNet2.4,Conv2d 1x1,1061683200,82946048,49767488,12.8,40.0
LE.CondNet3.0,Conv2d 3x3,38220595200,331849728,199102720,115.2,40.0
LE.CondNet3.2,Conv2d 3x3,9555148800,83017728,49803520,115.1,40.0
LE.CondNet3.4,Conv2d 1x1,265420800,20738048,12442688,12.8,40.0
LE.CondNet4.0,Conv2d 3x3,38220595200,331849728,199102720,115.2,40.0
LE.CondNet4.2,Conv2d 3x3,9555148800,83017728,49803520,115.1,40.0
LE.CondNet4.4,Conv2d 3x3,597196800,17644032,9340480,33.8,47.1
LE.conv_first,Conv2d 3x3,3583180800,145153728,138932192,24.7,4.3
LE.SFT_layer1.SFT_scale_conv0,Conv2d 1x1,1061683200,132710912,99533120,8.0,25.0
LE.SFT_layer1.SFT_scale_conv1,Conv2d 1x1,2123366400,199066624,165888640,10.7,16.7
LE.SFT_layer1.SFT_shift_conv0,Conv2d 1x1,1061683200,132710912,99533120,8.0,25.0
LE.SFT_layer1.SFT_shift_conv1,Conv2d 1x1,2123366400,199066624,165888640,10.7,16.7
LE.HR_conv1,Conv2d 3x3,38220595200,265439232,199074944,144.0,25.0
LE.down_conv1,Conv2d 3x3,9555148800,165906432,99542144,57.6,40.0
LE.recon_trunk1.0.sft1.SFT_scale_conv0,Conv2d 1x1,265420800,33178112,24883520,8.0,25.0
LE.recon_trunk1.0.sft1.SFT_scale_conv1,Conv2d 1x1,530841600,49767424,41472640,10.7,16.7
LE.recon_trunk1.0.sft1.SFT_shift_conv0,Conv2d 1x1,265420800,33178112,24883520,8.0,25.0
LE.recon_trunk1.0.sft1.SFT_shift_conv1,Conv2d 1x1,530841600,49767424,41472640,10.7,16.7
LE.recon_trunk1.0.conv1,Conv2d 3x3,9555148800,66373632,49775744,144.0,25.0
LE.recon_trunk1.0.sft2.SFT_scale_conv0,Conv2d 1x1,265420800,33178112,24883520,8.0,25.0
LE.recon_trunk1.0.sft2.SFT_scale_conv1,Conv2d 1x1,530841600,49767424,41472640,10.7,16.7
LE.recon_trunk1.0.sft2.SFT_shift_conv0,Conv2d 1x1,265420800,33178112,24883520,8.0,25.0
LE.recon_trunk1.0.sft2.SFT_shift_conv1,Conv2d 1x1,530841600,49767424,41472640,10.7,16.7
LE.recon_trunk1.0.conv2,Conv2d 3x3,9555148800,66373632,49775744,144.0,25.0
LE.down_conv2,Conv2d 3x3,2388787200,41490432,24892544,57.6,40.0
LE.recon_trunk2.0.sft1.SFT_scale_conv0,Conv2d 1x1,66355200,8294912,6221120,8.0,25.0
LE.recon_trunk2.0.sft1.SFT_scale_conv1,Conv2d 1x1,132710400,12442624,10368640,10.7,16.7
LE.recon_trunk2.0.sft1.SFT_shift_conv0,Conv2d 1x1,66355200,8294912,6221120,8.0,25.0
LE.recon_trunk2.0.sft1.SFT_shift_conv1,Conv2d 1x1,132710400,12442624,10368640,10.7,16.7
LE.recon_trunk2.0.conv1,Conv2d 3x3,2388787200,16607232,12450944,143.8,25.0
LE.recon_trunk2.0.sft2.SFT_scale_conv0,Conv2d 1x1,66355200,8294912,6221120,8.0,25.0
LE.recon_trunk2.0.sft2.SFT_scale_conv1,Conv2d 1x1,132710400,12442624,10368640,10.7,16.7
LE.recon_trunk2.0.sft2.SFT_shift_conv0,Conv2d 1x1,66355200,8294912,6221120,8.0,25.0
LE.recon_trunk2.0.sft2.SFT_shift_conv1,Conv2d 1x1,132710400,12442624,10368640,10.7,16.7
LE.recon_trunk2.0.conv2,Conv2d 3x3,2388787200,16607232,12450944,143.8,25.0
LE.down_conv3,Conv2d 3x3,597196800,10386432,6230144,57.5,40.0
LE.recon_trunk3.0.sft1.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.0.sft1.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.0.sft1.SFT_shift_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.0.sft1.SFT_shift_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.0.conv1,Conv2d 3x3,597196800,4165632,3119744,143.4,25.1
LE.recon_trunk3.0.sft2.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.0.sft2.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.0.sft2.SFT_shift_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.0.sft2.SFT_shift_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.0.conv2,Conv2d 3x3,597196800,4165632,3119744,143.4,25.1
LE.recon_trunk3.1.sft1.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.1.sft1.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.1.sft1.SFT_shift_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.1.sft1.SFT_shift_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.1.conv1,Conv2d 3x3,597196800,4165632,3119744,143.4,25.1
LE.recon_trunk3.1.sft2.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.1.sft2.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.1.sft2.SFT_shift_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.1.sft2.SFT_shift_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.1.conv2,Conv2d 3x3,597196800,4165632,3119744,143.4,25.1
LE.recon_trunk3.2.sft1.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.2.sft1.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.2.sft1.SFT_shift_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.2.sft1.SFT_shift_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
LE.recon_trunk3.2.conv1,Conv2d 3x3,597196800,4165632,3119744,143.4,25.1
LE.recon_trunk3.2.sft2.SFT_scale_conv0,Conv2d 1x1,16588800,2074112,1555520,8.0,25.0
LE.recon_trunk3.2.sft2.SFT_scale_conv1,Conv2d 1x1,33177600,3111424,2592640,10.7,16.7
